Played_Id,Player,Team,Age,Position,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,Season,Goals_winsorized,Height_winsorized,Weight_winsorized,FatigueInjuryCorrelation_winsorized,PressurePerformanceImpact_winsorized,EffectiveTraining_winsorized,Goals
0,player c,team c,31,defender,2,4,3,81.64491168,10.88300115,42,4,22,6,0.374540119,55,0,18,2022,11.0,164.2382365,64.89955397,1.86490201,1.416666667,247.0747629,11.0
1,player d,team c,22,defender,16,8,2,76.28801787,5.650023688,17,6,27,6,0.950714306,96,8,15,2019,2.0,164.4896429,55.6361591,0.222857322,6.666666667,216.0660446,2.0
2,player a,team c,27,defender,13,8,0,78.2472649,9.236842052,2,6,23,5,0.731993942,36,8,17,2022,19.0,221.50724206000004,89.32584969,0.0,8.0,359.936777,13.0
3,player c,team c,29,forward,1,3,3,99.74274028,8.52357629,58,5,3,4,0.598658484,37,4,19,2020,13.0,184.567349,50.95230768,0.077486774,2.142857143,271.3479107,6.0
4,player c,team c,27,defender,8,1,2,51.4306364,7.239479413,61,3,12,8,0.15601864,14,1,6,2022,6.0,192.172813,78.83288083,1.029822394,9.857142857,112.1859522,6.0
5,player d,team a,28,forward,7,1,4,95.74860805,8.119712677,38,7,23,1,0.15599452,27,8,6,2020,6.0,195.9700123,55.13688117,1.51780466,1.285714286,299.99533368000004,13.0
6,player a,team c,19,midfielder,8,8,3,92.09453808,5.005241041,90,11,0,2,0.058083612,83,7,17,2020,13.0,184.9501354,78.36580481,3.712316988,5.785714286,267.18138052,11.0
7,player a,team c,22,goalkeeper,5,8,1,81.666409366,8.240935435,63,1,18,8,0.866176146,31,9,17,2020,11.0,160.2252525,52.79525325,1.919914782,7.75,187.08071288,26.0
8,player c,team a,24,goalkeeper,1,2,0,94.04731768,5.784083422,72,12,29,1,0.601115012,73,9,13,2020,31.0,167.4526711,108.4652082,0.757937283,1.2310547450000002,501.02725076,27.0
9,player b,team a,23,goalkeeper,3,4,2,82.42806212,14.21302173,80,12,19,2,0.708072578,81,5,10,2020,26.0,184.46718104,64.68172958,5.126407668,2.925925926,539.6323304,10.0
10,player c,team a,39,defender,13,4,2,94.46772584,5.7433288,59,7,4,5,0.020584494,83,6,14,2019,23.0,174.532979,95.206404632,1.079609681,5.4856060606,328.82533746,0.0
11,player c,team a,20,goalkeeper,12,1,0,79.73654411,14.53105888,41,12,12,9,0.969909852,44,5,9,2021,27.0,180.0540397,93.330712694,0.0,2.357142857,206.8442925,22.0
12,player c,team a,30,midfielder,12,1,3,69.711932212,9.914263347,4,13,15,6,0.832442641,68,4,8,2021,10.0,161.7358871,102.2386243,0.0,4.818181818,120.4531917,12.0
13,player c,team a,20,forward,12,9,1,78.8110692,10.13173155,45,4,15,1,0.212339111,48,3,12,2021,0.0,173.939119,65.33268531,1.467401787,12.494047618,94.69812132,23.0
14,player d,team c,38,goalkeeper,4,0,4,58.9531124,12.88125739,3,6,10,7,0.181824967,57,6,8,2019,22.0,167.167187,80.119045776,0.829280264,2.434782609,183.124529,22.0
15,player a,team c,23,forward,11,1,3,68.300064288,11.95379713,13,2,8,8,0.18340451,75,3,12,2020,12.0,185.8828067,100.0971644,0.693558155,6.076923077,169.0112019,16.0
16,player d,team b,28,forward,5,6,0,75.463962868,7.370611229,92,13,17,0,0.304242243,22,9,19,2021,49.0,178.5708948,103.839370622,0.703138596,3.137931034,342.6750095,2.0
17,player d,team c,34,goalkeeper,13,0,3,97.37383083,5.25466349,10,6,14,5,0.524756432,4,9,17,2021,23.0,179.8127059,122.05314097080002,2.707834411,0.291666667,564.3048141,6.0
